C1,C2,C3,C4,C5,C6,Tarih
Yalnız,Yeme / İçme,Aile Üyeleri,Hayır,Evet,Hayır,Sun Feb 14 2021 16:13:38 GMT+0300 (+03)
Yorgun,Video İzlemek,Aile Üyeleri,Hayır,Bilmiyorum,Hayır,Sun Feb 14 2021 18:13:21 GMT+0300 (+03)
İyi,Dinlenme,Aile Üyeleri,Hayır,Hayır,Hayır,Sun Feb 14 2021 20:08:58 GMT+0300 (+03)
Nötr,Dinlenme,Meslektaş,Hayır,Evet,Bilmiyorum,Thu Feb 18 2021 14:21:18 GMT+0300 (+03)
Nötr,İş,Meslektaş,Hayır,Evet,Bilmiyorum,Thu Feb 18 2021 15:52:16 GMT+0300 (+03)
İyi,Yeme / İçme,Kimse yok,Hayır,Hayır,Evet,Thu Feb 18 2021 18:02:11 GMT+0300 (+03)
İyi,Müzik Dinlemek,Kimse yok,Hayır,Hayır,Hayır,Thu Feb 18 2021 20:03:19 GMT+0300 (+03)
Nötr,İş,Birçok kişi,Hayır,Evet,Bilmiyorum,Fri Feb 19 2021 10:04:14 GMT+0300 (+03)
Enerjik,İş,Meslektaş,Evet,Evet,Hayır,Fri Feb 19 2021 12:09:55 GMT+0300 (+03)
Gergin,Sohbet,Meslektaş,Evet,Evet,Hayır,Fri Feb 19 2021 14:07:51 GMT+0300 (+03)
Gergin,İş,Birçok kişi,Evet,Evet,Hayır,Fri Feb 19 2021 16:02:42 GMT+0300 (+03)
Nötr,Sohbet,Aile Üyeleri,Hayır,Bilmiyorum,Evet,Fri Feb 19 2021 18:02:38 GMT+0300 (+03)
Nötr,Diğer,Aile Üyeleri,Hayır,Evet,Hayır,Fri Feb 19 2021 20:05:40 GMT+0300 (+03)
Nötr,İş,Meslektaş,Hayır,Bilmiyorum,Evet,Sat Feb 20 2021 10:32:32 GMT+0300 (+03)
Nötr,Sohbet,Meslektaş,Hayır,Evet,Evet,Sat Feb 20 2021 12:04:16 GMT+0300 (+03)
Suçlu,Temizlik,Kimse yok,Evet,Hayır,Hayır,Sat Feb 20 2021 14:16:58 GMT+0300 (+03)
Nötr,Temizlik,Kimse yok,Hayır,Hayır,Hayır,Sat Feb 20 2021 16:08:54 GMT+0300 (+03)
İyi,Müzik Dinlemek,Kimse yok,Hayır,Hayır,Bilmiyorum,Sat Feb 20 2021 18:04:26 GMT+0300 (+03)
İyi,Video İzlemek,Kimse yok,Hayır,Hayır,Bilmiyorum,Sat Feb 20 2021 20:08:27 GMT+0300 (+03)
Nötr,Yeme / İçme,Kimse yok,Hayır,Hayır,Bilmiyorum,Sun Feb 21 2021 10:03:20 GMT+0300 (+03)
Nötr,Boş zaman,Kimse yok,Hayır,Hayır,Bilmiyorum,Sun Feb 21 2021 12:06:00 GMT+0300 (+03)
Nötr,Video İzlemek,Kimse yok,Bilmiyorum,Hayır,Bilmiyorum,Sun Feb 21 2021 14:03:39 GMT+0300 (+03)
Heyecanlı,Spor,Birçok kişi,Evet,Evet,Hayır,Sun Feb 21 2021 16:12:55 GMT+0300 (+03)
Yorgun,Sohbet,Aile Üyeleri,Evet,Bilmiyorum,Hayır,Sun Feb 21 2021 18:14:47 GMT+0300 (+03)
Mutsuz,Sohbet,Aile Üyeleri,Evet,Evet,Hayır,Sun Feb 21 2021 20:09:48 GMT+0300 (+03)
Rahat,Sohbet,Arkadaşlar,Hayır,Hayır,Bilmiyorum,Mon Feb 22 2021 10:03:46 GMT+0300 (+03)
Rahat,Boş zaman,Arkadaşlar,Hayır,Hayır,Evet,Mon Feb 22 2021 12:04:02 GMT+0300 (+03)
Nötr,Sohbet,Arkadaşlar,Hayır,Bilmiyorum,Bilmiyorum,Mon Feb 22 2021 16:02:10 GMT+0300 (+03)
Rahat,Yeme / İçme,Kimse yok,Hayır,Hayır,Bilmiyorum,Mon Feb 22 2021 18:07:13 GMT+0300 (+03)
